 时间 , 损失值 , 交叉熵 , 训练精度 ,验证损失,验证交叉熵,验证精度
 49s , 0.9322 , 0.5638 , 0.8126 , 0.4456 , 0.4456 , 0.8263
 48s , 0.7860 , 0.5029 , 0.8196 , 0.4305 , 0.4305 , 0.8259
 48s , 0.7520 , 0.4785 , 0.8205 , 0.4486 , 0.4486 , 0.8263
 48s , 0.7330 , 0.4648 , 0.8208 , 0.4416 , 0.4416 , 0.8275
 48s , 0.7215 , 0.4566 , 0.8218 , 0.4595 , 0.4595 , 0.8236
 48s , 0.7113 , 0.4497 , 0.8219 , 0.4606 , 0.4606 , 0.8267
 48s , 0.7019 , 0.4436 , 0.8223 , 0.4589 , 0.4589 , 0.8259
 48s , 0.6913 , 0.4362 , 0.8239 , 0.4701 , 0.4701 , 0.8259
 48s , 0.6842 , 0.4314 , 0.8256 , 0.4714 , 0.4714 , 0.8244
 48s , 0.6766 , 0.4263 , 0.8262 , 0.4601 , 0.4601 , 0.8263
